Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Peugeot 3008,37999,07/05/2021,0,12780,Hybride essence rechargeable,Boîte automatique 8 rapports,10,180
Peugeot 3008,38788,09/03/2022,0,963,Diesel,Boîte automatique,7,130
Peugeot 3008,39999,30/11/2021,0,10,Hybride essence rechargeable,Boîte automatique,13,225
Peugeot 3008,40599,31/12/2021,0,10,Hybride essence rechargeable,Boîte automatique,10,180
Peugeot 3008,40599,24/05/2022,0,10,Hybride essence rechargeable,Boîte automatique,13,225
Peugeot 3008,39488,05/04/2022,0,10,Diesel,Boîte automatique,7,130
Peugeot 3008,39788,22/03/2022,0,10,Diesel,Boîte automatique,7,130
Peugeot 3008,41699,14/01/2022,0,10,Hybride essence rechargeable,Boîte automatique,13,225
Peugeot 3008,42199,27/03/2021,0,9322,Hybride essence rechargeable,Boîte automatique,10,180
Peugeot 3008,42199,26/11/2021,0,10886,Hybride essence rechargeable,Boîte automatique,10,180
Peugeot 3008,42499,31/01/2022,0,10,Hybride essence rechargeable,Boîte automatique,13,225
Peugeot 3008,43899,28/03/2022,0,15860,Hybride essence rechargeable,Boîte automatique,11,200
Peugeot 3008,42499,23/02/2022,0,10,Hybride essence rechargeable,Boîte automatique,13,225
Peugeot 3008,43899,28/03/2022,0,11184,Hybride essence rechargeable,Boîte automatique,11,200
Peugeot 3008,43206,12/04/2022,0,10,Diesel,Boîte automatique,7,130
Peugeot 3008,44699,23/07/2021,0,25008,Hybride essence rechargeable,Boîte automatique,11,200
Peugeot 3008,43899,28/03/2022,0,15305,Hybride essence rechargeable,Boîte automatique,11,200
Peugeot 3008,35299,31/10/2022,1,0,Essence,Boîte automatique 8 rapports,7,130
Peugeot 3008,43899,31/03/2022,0,13190,Hybride essence rechargeable,Boîte automatique,11,200
Peugeot 3008,37199,19/05/2022,1,0,Diesel,Boîte automatique 8 rapports,7,130
Peugeot 3008,34999,30/08/2022,1,0,Essence,Boîte automatique 8 rapports,7,130
Peugeot 3008,37199,09/03/2022,1,0,Diesel,Boîte automatique 8 rapports,7,130
