,Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
0,BMW X1,23480.0,01-07-2016,1.0,94500.0,Diesel,Boîte automatique,8.0,150.0
1,KIA RIO,9880.0,12-04-2016,1.0,65200.0,Essence,Boîte manuelle,5.0,85.0
2,AUDI RS Q3,27480.0,20-03-2014,1.0,175300.0,Essence,Boîte automatique,21.0,310.0
3,PORSCHE CAYENNE,27880.0,26-07-2010,1.0,139000.0,Diesel,Boîte automatique,15.0,240.0
4,CITROEN C3,6880.0,07-09-2015,1.0,134000.0,Diesel,Boîte manuelle,4.0,99.0
5,AUTOSTAR AUROS 17 CAPUCINE,34890.0,16-02-2009,1.0,35500.0,Diesel,Boîte manuelle,8.0,130.0
6,NISSAN QASHQAI,17480.0,29-11-2019,1.0,114200.0,Essence,Boîte manuelle,7.0,140.0
7,CITROEN C3 AIRCROSS,13890.0,21-03-2019,1.0,109200.0,Essence,Boîte manuelle,5.0,110.0
8,DACIA SANDERO,7480.0,26-06-2015,1.0,96600.0,Essence,Boîte manuelle,5.0,75.0
9,RENAULT MASTER MINIBUS,8890.0,02-11-1999,1.0,108500.0,Diesel,Boîte manuelle,8.0,80.0
10,PEUGEOT EXPERT,9890.0,29-09-2009,1.0,126400.0,Diesel,Boîte manuelle,7.0,120.0
11,LAND ROVER DEFENDER,36890.0,11-01-2008,1.0,72200.0,Diesel,Boîte manuelle,10.0,122.0
12,BMW X3,25480.0,01-12-2015,1.0,96000.0,Diesel,Boîte automatique,10.0,190.0
13,PEUGEOT 3008,24480.0,26-09-2019,1.0,112200.0,Essence,Boîte automatique,10.0,180.0
14,OPEL CROSSLAND X,14890.0,19-03-2019,1.0,96000.0,Essence,Boîte automatique,6.0,110.0
15,NISSAN QASHQAI,17690.0,25-11-2019,1.0,104000.0,Essence,Boîte manuelle,7.0,140.0
16,AUDI A3,19480.0,13-04-2017,1.0,82000.0,Diesel,Boîte automatique,6.0,116.0
17,VOLKSWAGEN COCCINELLE,11480.0,30-08-2012,1.0,177800.0,Diesel,Boîte automatique,8.0,140.0
18,SMART FORTWO,8890.0,22-12-2014,1.0,53200.0,Essence,Boîte manuelle,4.0,71.0
19,JAGUAR E-PACE,27890.0,02-04-2019,1.0,115000.0,Diesel,Boîte automatique,9.0,150.0
20,PEUGEOT 308,17480.0,12-08-2019,1.0,102400.0,Essence,Boîte automatique,7.0,130.0
21,VOLKSWAGEN T-ROC,22890.0,18-04-2019,1.0,77200.0,Diesel,Boîte manuelle,6.0,115.0
22,CITROEN C5 AIRCROSS,24890.0,15-04-2019,1.0,91800.0,Essence,Boîte automatique,10.0,181.0
23,OPEL CROSSLAND X,15890.0,26-04-2019,1.0,36200.0,Essence,Boîte manuelle,5.0,110.0
24,FIAT 500 X,14480.0,22-12-2016,1.0,52000.0,Essence,Boîte manuelle,8.0,140.0
25,PEUGEOT 3008,19890.0,16-04-2018,1.0,130700.0,Essence,Boîte automatique,7.0,130.0
26,RENAULT CLIO,11880.0,14-06-2019,1.0,35300.0,Essence,Boîte manuelle,4.0,75.0
27,VOLKSWAGEN GOLF,14480.0,16-02-2012,1.0,121500.0,Essence,Boîte automatique,9.0,160.0
28,PEUGEOT 2008,13880.0,26-02-2016,1.0,49500.0,Essence,Boîte manuelle,5.0,110.0
29,PEUGEOT 3008,8980.0,24-02-2012,1.0,94500.0,Diesel,Boîte manuelle,6.0,112.0
30,RENAULT MEGANE,15880.0,02-02-2018,1.0,56200.0,Essence,Boîte manuelle,7.0,130.0
31,TOYOTA RAV 4,25880.0,11-01-2016,1.0,78500.0,Hybrides,Boîte automatique,8.0,155.0
32,HYUNDAI IONIQ,25880.0,04-10-2019,1.0,45800.0,Hybrides,Boîte automatique,3.0,105.0
